id_queja,id_toma,categoria,descripcion,canal,prioridad,fecha_reporte,descripcion_limpia,largo_texto,categoria_modelo
Q99E961BCFD,TB308B5DC7A,baja_presion,"Desde hace dos semanas el chorro sale débil, sobre todo en la mañana.",presencial,normal,2025-02-08 08:20:00,"desde hace dos semanas el chorro sale débil, sobre todo en la mañana.",69,baja_presion
QE52E9110A6,T6F621D315F,sin_agua,Tercer día sin agua. Necesitamos saber cuándo se restablece.,telefono,alta,2025-08-31 08:39:00,tercer día sin agua. necesitamos saber cuándo se restablece.,60,sin_agua
QBF09B65136,T0F12629295,baja_presion,"El agua llega con muy poca presión, no sube al tinaco.",portal,normal,2026-04-18 18:30:00,"el agua llega con muy poca presión, no sube al tinaco.",54,baja_presion
QA6255881F9,T25A59C1230,sin_agua,"No llega agua a mi domicilio desde hace dos semanas, los vecinos igual.",portal,baja,2024-03-15 21:57:00,"no llega agua a mi domicilio desde hace dos semanas, los vecinos igual.",71,sin_agua
QEB4F69288D,T62DB418771,drenaje,El drenaje de Matamoros está desbordado y huele muy mal.,telefono,alta,2024-10-20 18:09:00,el drenaje de matamoros está desbordado y huele muy mal.,56,drenaje
QFA1EB603E1,TD81C7B0AC7,atencion,Mal trato del personal al preguntar por mi aclaración.,whatsapp,alta,2025-09-03 09:55:00,mal trato del personal al preguntar por mi aclaración.,54,atencion
QE084137CA0,TAB67F85714,fuga_toma,La llave de banqueta gotea sin parar desde hace dos semanas.,portal,baja,2026-06-22 03:51:00,la llave de banqueta gotea sin parar desde hace dos semanas.,60,fuga_toma
QBA3708D198,T37BA3005AD,sin_agua,"Sin abasto en toda la calle Matamoros, nadie tiene agua.",presencial,alta,2024-03-12 11:43:00,"sin abasto en toda la calle matamoros, nadie tiene agua.",56,sin_agua
Q8ACE649594,T486DC7662A,fuga_toma,Creo que tengo una fuga: cerré todo y el medidor sigue girando.,telefono,normal,2024-06-27 16:00:00,creo que tengo una fuga: cerré todo y el medidor sigue girando.,63,fuga_toma
QF2BFB8F2FC,T81EEF6FCD3,sin_agua,Tercer día sin agua. Necesitamos saber cuándo se restablece.,presencial,normal,2024-09-19 07:05:00,tercer día sin agua. necesitamos saber cuándo se restablece.,60,sin_agua
QF9B18AC991,T328C38D103,facturacion,Pagué en línea y el recibo sigue apareciendo como pendiente.,whatsapp,alta,2024-12-20 05:29:00,pagué en línea y el recibo sigue apareciendo como pendiente.,60,facturacion
QCEB3D6ADFA,TF2D53B5266,fuga_toma,La llave de banqueta gotea sin parar desde la semana pasada.,telefono,normal,2026-06-20 23:37:00,la llave de banqueta gotea sin parar desde la semana pasada.,60,fuga_toma
QDB972B0218,TC54C99BA73,atencion,Mal trato del personal al preguntar por mi aclaración.,portal,normal,2024-12-06 14:37:00,mal trato del personal al preguntar por mi aclaración.,54,atencion
Q498D1C99A7,TDA01857472,facturacion,"El recibo trae un consumo que no corresponde, somos pocos en casa.",portal,baja,2025-02-05 18:12:00,"el recibo trae un consumo que no corresponde, somos pocos en casa.",66,facturacion
QFF1C989DF0,TD93E7F3525,fuga_toma,La llave de banqueta gotea sin parar desde hace tres días.,whatsapp,baja,2026-07-23 05:23:00,la llave de banqueta gotea sin parar desde hace tres días.,58,fuga_toma
